SampleID,Rep,DateStart,RichLevel,Inhibitory,qPCR_bact_log10,CV_log10,Richness,inhibRich,inhibRichFrac,inhibProp,inhibReads,shannon,qPCR_bact_log10_inhib,Inhib,inhibProp_raw,inhibRichFrac_raw,Bd_micro_log10,Bd_qPCR_log10,Centre_qPCR_bact_log10,Centre_CV_log10,Centre_Richness,Centre_inhibRich,Centre_inhibRichFrac,Centre_inhibProp,Centre_inhibReads,Centre_shannon,Centre_qPCR_bact_log10_inhib
Inhib_2020-10-05_1_Rep12,Rep12,2020-10-05,1,1,-2.684663324,-0.5765032536,-1.297297297,0.3108108108,0.7459459459,0.7268431843,0.6347525189,-0.4945882851,0.1935365145,1,1,1,0,1.219890323,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-10-05_3_Rep12,Rep12,2020-10-05,3,1,-1.610332761,-0.4986270869,-1.297297297,0.3108108108,0.7459459459,0.7268431843,0.7063653784,-0.4945882851,0.2096124091,1,1,1,1.425271128,3.301967052,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-10-05_10_Rep12,Rep12,2020-10-05,10,1,0.5568683401,0.8861397761,1.702702703,2.310810811,0.4959459459,0.4943840613,0.4951550024,0.5710469869,0.1603777397,1,0.767540877,0.75,0,0.01691621237,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-10-05_3_Rep12,Rep12,2020-10-05,3,0,-1.28044104,-0.9951885428,-1.297297297,-0.6891891892,-0.2540540541,-0.1372453058,-0.1323107729,-0.4945882851,-0.03115785634,0,0.1359115098,0,0.477391096,3.986240951,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-10-05_10_Rep12,Rep12,2020-10-05,10,0,1.193035963,0.9559154013,0.7027027027,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.4385299976,-0.08500091972,0,0,0,0,1.07947506,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-08-31_0_Rep2,Rep2,2020-08-31,0,0,-2.736058058,-0.8782446245,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,3.007535419,3.340133102,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-08-31_1_Rep2,Rep2,2020-08-31,1,1,-0.4441057759,0.3605005278,-1.297297297,0.3108108108,0.7459459459,0.7268431843,0.7193713021,-0.4945882851,0.2124692299,1,1,1,0,3.682492229,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-08-31_3_Rep2,Rep2,2020-08-31,3,1,0.4866444319,0.5784200296,-0.2972972973,1.310810811,0.7459459459,0.7268431843,0.7086577502,0.03817755768,0.210117307,1,1,1,0.5800818325,2.334180227,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-08-31_10_Rep2,Rep2,2020-08-31,10,1,1.30161,1.002175339,2.702702703,2.310810811,0.3459459459,0.7268431843,0.7181198691,0.3767356134,0.2121951616,1,1,0.6,0,2.052374173,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-08-31_1_Rep2,Rep2,2020-08-31,1,0,0.08645961956,-0.5058155735,0.7027027027,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.4448421751,-0.08500091972,0,0,0,2.896158127,4.175726795,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-08-31_3_Rep2,Rep2,2020-08-31,3,0,1.07321277,0.5551185605,1.702702703,-0.6891891892,-0.2540540541,-0.224318999,-0.2156167677,0.7048512367,-0.064355765,0,0.04883781666,0,0.1313845247,3.989722191,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-08-31_10_Rep2,Rep2,2020-08-31,10,0,1.020907412,0.362958805,1.702702703,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.6433176997,-0.08500091972,0,0,0,0,3.515043887,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-07_0_Rep3,Rep3,2020-09-07,0,0,-1.984944349,-0.7045330672,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,2.223118748,3.61526677,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-07_1_Rep3,Rep3,2020-09-07,1,0,0.08852258187,-0.6876833231,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,1.431753481,2.740945028,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-07_3_Rep3,Rep3,2020-09-07,3,0,1.126732859,-0.2422996683,0.7027027027,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.4977043445,-0.08500091972,0,0,0,1.87777068,2.47462924,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-07_10_Rep3,Rep3,2020-09-07,10,0,1.098785994,0.0448464406,3.702702703,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.9819944953,-0.08500091972,0,0,0,1.861335748,3.102123427,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-07_0_Rep4,Rep4,2020-09-07,0,0,-3.850369224,-0.5765032536,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,2.784735982,3.96273198,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
